,I,Length
4360,interscinded,12
4361,interscinding,13
4362,interscind,10
4363,interscribed,12
4364,interscribing,13
4365,interscribe,11
4366,intersecant,11
4367,intersected,11
4368,intersecting,12
4369,intersect,9
4370,intersection,12
4371,intersectional,14
4372,interseminate,13
4373,interseptal,11
4374,interserted,11
4375,interserting,12
4376,intersert,9
4377,interserttion,13
4378,intersesamoid,13
4379,interset,8
4380,intershock,10
4381,intersidereal,13
4382,intersocial,11
4383,intersomnious,13
4384,interspace,10
4385,interspeech,11
4386,interspersed,12
4387,interspersing,13
4388,intersperse,11
4389,interspersion,13
4390,interspinal,11
4391,interspinous,12
4392,interspiration,14
4393,interstapedial,14
4394,interstate,10
4395,interstellar,12
4396,interstellary,13
4397,intersternal,12
4398,interstices,11
4399,interstice,10
4400,intersticed,11
4401,interstinctive,14
4402,interstitial,12
4403,interstition,12
4404,interstratification,19
4405,interstratified,15
4406,interstratify,13
4407,intertalk,9
4408,intertangle,11
4409,intertarsal,11
4410,intertex,8
4411,intertexture,12
4412,interthoracic,13
4413,intertie,8
4414,intertissued,12
4415,intertraffic,12
4416,intertranspicuous,17
4417,intertransverse,15
4418,intertrigo,10
4419,intertrochanteric,17
4420,intertropical,13
4421,intertubular,12
4422,intertwine,10
4423,intertwiningly,14
4424,intertwist,10
4425,intertwistingly,15
4426,interungular,12
4427,interungulate,13
4428,interval,8
4429,intervale,9
4430,intervallums,12
4431,intervalla,10
4432,intervallum,11
4433,intervary,9
4434,interveined,11
4435,intervened,10
4436,intervening,11
4437,intervene,9
4438,intervener,10
4439,intervenience,13
4440,interveniency,13
4441,intervenient,12
4442,intervent,9
4443,intervention,12
4444,interventor,11
4445,interventricular,16
4446,intervenue,10
4447,intervert,9
4448,intervertebral,14
4449,interview,9
4450,interviewer,11
4451,interviewing,12
4452,intervisible,12
4453,intervisit,10
4454,intervital,10
4455,intervolution,13
4456,intervolved,11
4457,intervolving,12
4458,intervolve,10
4459,interwove,9
4460,interwoven,10
4461,interweaving,12
4462,interweave,10
4463,interwish,9
4464,interworking,12
4465,interworld,10
4466,interwreathe,12
4467,intestable,10
4468,intestacy,9
4469,intestate,9
4470,intestinal,10
4471,intestine,9
4472,intestines,10
4473,intext,6
4474,intextine,9
4475,intextured,10
4476,inthirst,8
4477,inthralled,10
4478,inthralling,11
4479,inthrall,8
4480,inthrallment,12
4481,inthrone,8
4482,inthrong,8
4483,inthronization,14
4484,inthronize,10
4485,intice,6
4486,intimacies,10
4487,intimacy,8
4488,intimate,8
4489,intimated,9
4490,intimating,10
4491,intimately,10
4492,intimation,10
4493,intime,6
4494,intimidated,11
4495,intimidating,12
4496,intimidate,10
4497,intimidation,12
4498,intimidatory,12
4499,intinction,10
4500,intinctivity,12
4501,intine,6
4502,intire,6
4503,intirely,8
4504,intitle,7
4505,intituled,9
4506,intituling,10
4507,intitule,8
4508,into,4
4509,intolerability,14
4510,intolerable,11
4511,intolerance,11
4512,intolerancy,11
4513,intolerant,10
4514,intolerantly,12
4515,intolerated,11
4516,intolerating,12
4517,intoleration,12
4518,intombed,8
4519,intombing,9
4520,intomb,6
4521,intombment,10
4522,intonate,8
4523,intonated,9
4524,intonating,10
4525,intonation,10
4526,intoned,7
4527,intoning,8
4528,intone,6
4529,intorsion,9
4530,intorted,8
4531,intorting,9
4532,intort,6
4533,intortion,9
4534,intoxicant,10
4535,intoxicate,10
4536,intoxicated,11
4537,intoxicating,12
4538,intoxicatedness,15
4539,intoxication,12
4540,intraaxillary,13
4541,intracellular,13
4542,intracolic,10
4543,intracranial,12
4544,intractability,14
4545,intractable,11
4546,intractile,10
4547,intrados,8
4548,intrafoliaceous,15
4549,intrafusion,11
4550,intralobular,12
4551,intramarginal,13
4552,intramercurial,14
4553,intramolecular,14
4554,intramundane,12
4555,intramural,10
4556,intranquillity,14
4557,intranscalent,13
4558,intransgressible,16
4559,intranssient,12
4560,intransigent,12
4561,intransigentes,14
4562,intransitive,12
4563,intransitively,14
4564,intransmissible,15
4565,intransmutability,17
4566,intransmutable,14
4567,intrant,7
4568,intranuclear,12
4569,intrap,6
4570,intraparietal,13
4571,intrapetiolar,13
4572,intraterritorial,16
4573,intrathoracic,13
4574,intratropical,13
4575,intrauterine,12
4576,intravalvular,13
4577,intravenous,11
4578,intraventricular,16
4579,intreasure,10
4580,intreat,7
4581,intreatable,11
4582,intreatance,11
4583,intreatful,10
4584,intrenched,10
4585,intrenching,11
4586,intrench,8
4587,intrenchant,11
4588,intrenchment,12
4589,intrepid,8
4590,intrepidity,11
4591,intrepidly,10
4592,intricable,10
4593,intricacies,11
4594,intricacy,9
4595,intricate,9
4596,intricately,11
4597,intricateness,13
4598,intrication,11
4599,intrigante,10
4600,intrigued,9
4601,intriguing,10
4602,intrigue,8
4603,intriguer,9
4604,intriguery,10
4605,intriguingly,12
4606,intrinse,8
4607,intrinsic,9
4608,intrinsical,11
4609,intrinsicality,14
4610,intrinsically,13
4611,intrinsicalness,15
4612,intrinsicate,12
4613,introcession,12
4614,introduced,10
4615,introducing,11
4616,introduce,9
4617,introducement,13
4618,introducer,10
4619,introduct,9
4620,introduction,12
4621,introductive,12
4622,introductor,11
4623,introductorily,14
4624,introductory,12
4625,introductress,13
4626,introflexed,11
4627,introgression,13
4628,introit,7
4629,intromission,12
4630,intromitted,11
4631,intromitting,12
4632,intromit,8
4633,intromittent,12
4634,intromitter,11
4635,intropression,13
4636,introreception,14
4637,introrse,8
4638,introspect,10
4639,introspection,13
4640,introspectionist,16
4641,introspective,13
4642,introsume,9
4643,introsusception,15
4644,introvenient,12
4645,introversion,12
4646,introverted,11
4647,introverting,12
4648,introvert,9
4649,intrude,7
4650,intruded,8
4651,intruding,9
4652,intruder,8
4653,intrudress,10
4654,intrunk,7
4655,intrusion,9
4656,intrusional,11
4657,intrusionist,12
4658,intrusive,9
4659,intrusted,9
4660,intrusting,10
4661,intrust,7
4662,intubation,10
4663,intuition,9
4664,intuitional,11
4665,intuitionalism,14
4666,intuitionalist,14
4667,intuitionism,12
4668,intuitionist,12
4669,intuitive,9
4670,intuitively,11
4671,intuitivism,11
4672,intumesced,10
4673,intumescing,11
4674,intumesce,9
4675,intumescence,12
4676,intumescent,11
4677,intumulated,11
4678,intune,6
4679,inturbidated,12
4680,inturbidating,13
4681,inturbidate,11
4682,inturgescence,13
4683,intuse,6
4684,intussuscepted,14
4685,intussusception,15
4686,intwine,7
4687,intwinement,11
4688,intwist,7
4689,inuendo,7
4690,inulin,6
4691,inuloid,7
4692,inumbrate,9
4693,inuncted,8
4694,inunction,9
4695,inunctuosity,12
4696,inundant,8
4697,inundated,9
4698,inundating,10
4699,inundate,8
4700,inundation,10
4701,inunderstanding,15
4702,inurbane,8
4703,inurbanity,10
4704,inured,6
4705,inuring,7
4706,inure,5
4707,inurement,9
4708,inurned,7
4709,inurning,8
4710,inurn,5
4711,inusitate,9
4712,inusitation,11
4713,inust,5
4714,inustion,8
4715,inutile,7
4716,inutility,9
4717,inutterable,11
4718,invaded,7
4719,invading,8
4720,invade,6
4721,invader,7
4722,invaginate,10
4723,invaginated,11
4724,invagination,12
4725,invalescence,12
4726,invaletudinary,14
4727,invalid,7
4728,invalidated,11
4729,invalidating,12
4730,invalidate,10
4731,invalidation,12
4732,invalide,8
4733,invalidism,10
4734,invalidity,10
4735,invalidness,11
4736,invalorous,10
4737,invaluable,10
4738,invaluably,10
4739,invalued,8
4740,invariability,13
4741,invariable,10
4742,invariance,10
4743,invariant,9
4744,invasion,8
4745,invasive,8
4746,invect,6
4747,invected,8
4748,invection,9
4749,invective,9
4750,invectively,11
4751,inveighed,9
4752,inveighing,10
4753,inveigh,7
4754,inveigher,9
4755,inveigled,9
4756,inveigling,10
4757,inveigle,8
4758,inveiglement,12
4759,inveigler,9
4760,inveil,6
4761,invendibility,13
4762,invendible,10
4763,invenom,7
4764,invented,8
4765,inventing,9
4766,invent,6
4767,inventer,8
4768,inventful,9
4769,inventible,10
4770,inventibleness,14
4771,invention,9
4772,inventious,10
4773,inventive,9
4774,inventor,8
4775,inventorial,11
4776,inventories,11
4777,inventory,9
4778,inventoried,11
4779,inventorying,12
4780,inventress,10
4781,inveracity,10
4782,inverisimilitude,16
4783,inverse,7
4784,inversely,9
4785,inversion,9
4786,inverted,8
4787,inverting,9
4788,invert,6
4789,invertebral,11
4790,invertebrata,12
4791,invertebrate,12
4792,invertebrated,13
4793,invertedly,10
4794,invertible,10
4795,invertin,8
4796,invested,8
4797,investing,9
4798,invest,6
4799,investient,10
4800,investigable,12
4801,investigated,12
4802,investigating,13
4803,investigate,11
4804,investigation,13
4805,investigative,13
4806,investigator,12
4807,investiture,11
4808,investive,9
4809,investment,10
4810,investor,8
4811,investure,9
4812,inveteracy,10
4813,inveterate,10
4814,inveterately,12
4815,inveterateness,14
4816,inveteration,12
4817,invict,6
4818,invidious,9
4819,invigilance,11
4820,invigilancy,11
4821,invigor,7
4822,invigorated,11
4823,invigorating,12
4824,invigorate,10
4825,invigoration,12
4826,invile,6
4827,invillaged,10
4828,invincibility,13
4829,invincible,10
4830,inviolability,13
4831,inviolable,10
4832,inviolableness,14
4833,inviolably,10
4834,inviolacy,9
4835,inviolate,9
4836,inviolated,10
4837,inviolately,11
4838,inviolaness,11
4839,invious,7
4840,invirile,8
4841,invirility,10
4842,inviscated,10
4843,inviscating,11
4844,inviscate,9
4845,inviscerated,12
4846,inviscerating,13
4847,inviscerate,11
4848,invisibilities,14
4849,invisibility,12
4850,invisible,9
4851,invisibleness,13
4852,invisibly,9
4853,invision,8
4854,invitation,10
4855,invitatory,10
4856,invitatories,12
4857,invited,7
4858,inviting,8
4859,invite,6
4860,invitement,10
4861,inviter,7
4862,invitiate,9
4863,invitrifiable,13
4864,invocated,9
4865,invocating,10
4866,invocate,8
4867,invocation,10
4868,invocatory,10
4869,invoice,7
4870,invoiced,8
4871,invoicing,9
4872,invoked,7
4873,invoking,8
4874,invoke,6
4875,involucel,9
4876,involucellate,13
4877,involucella,11
4878,involucellum,12
4879,involucral,10
4880,involucrate,11
4881,involucrated,12
4882,involucre,9
4883,involucred,10
4884,involucret,10
4885,involucra,9
4886,involucrums,11
4887,involucrum,10
4888,involuntarily,13
4889,involuntariness,15
4890,involuntary,11
4891,involute,8
4892,involuted,9
4893,involution,10
4894,involved,8
4895,involving,9
4896,involve,7
4897,involvedness,12
4898,involvement,11
4899,invulgar,8
4900,invulnerability,15
4901,invulnerable,12
4902,invulnerableness,16
4903,invulnerate,11
4904,inwalled,8
4905,inwalling,9
4906,inwall,6
4907,inward,6
4908,inwards,7
4909,inwardly,8
4910,inwardness,10
4911,inweave,7
4912,inwheel,7
4913,inwit,5
4914,inwith,6
4915,inwork,6
4916,itworn,6
4917,inwrap,6
4918,inwreathe,9
4919,inwrought,9
4920,ios,3
4921,io,2
4922,iodal,5
4923,iodate,6
4924,iodhydrin,9
4925,iodic,5
4926,iodide,6
4927,iodine,6
4928,iodism,6
4929,iodized,7
4930,iodizing,8
4931,iodize,6
4932,iodizer,7
4933,iodoform,8
4934,iodoquinine,11
4935,iodous,6
4936,ioduret,7
4937,iodyrite,8
4938,iolite,6
4939,ion,3
4940,ionian,6
4941,ionic,5
4942,ionidium,8
4943,iota,4
4944,iotacism,8
4945,iowas,5
4946,ipecac,6
4947,ipecacuanha,11
4948,ipocras,7
4949,ipomoea,7
4950,ipomoeic,8
4951,iracund,7
4952,irade,5
4953,iran,4
4954,iranian,7
4955,iranic,6
4956,irascibility,12
4957,irascible,9
4958,irate,5
4959,ire,3
4960,ireful,6
4961,irefulness,10
4962,irenarch,8
4963,irenic,6
4964,irenical,8
4965,irenicon,8
4966,irenics,7
4967,irestone,8
4968,irian,5
4969,iricism,7
4970,iridaceous,10
4971,irideous,8
4972,iridal,6
4973,iridectomy,10
4974,iridescence,11
4975,iridescent,10
4976,iridian,7
4977,iridiated,9
4978,iridic,6
4979,iridioscope,11
4980,iridious,8
4981,iridium,7
4982,iridized,8
4983,iridizing,9
4984,iridize,7
4985,iridoline,9
4986,iridosmine,10
4987,iridosmium,10
4988,irises,6
4989,irides,6
4990,iris,4
4991,irisated,8
4992,iriscope,8
4993,irised,6
4994,irish,5
4995,irishism,8
4996,irishmen,8
4997,irishman,8
4998,irishry,7
4999,iritis,6
5000,irk,3
5001,irksome,7
5002,iron,4
5003,ironed,6
5004,ironing,7
5005,ironbound,9
5006,ironclad,8
5007,ironer,6
5008,ironheads,9
5009,ironic,6
5010,ironical,8
5011,ironish,7
5012,ironist,7
5013,ironmaster,10
5014,ironmonger,10
5015,ironmongery,11
5016,ironsides,9
5017,ironsmith,9
5018,ironstone,9
5019,ironware,8
5020,ironweed,8
5021,ironwood,8
5022,ironwork,8
5023,ironwort,8
5024,irony,5
5025,iroquois,8
5026,irous,5
5027,irp,3
5028,irpe,4
5029,irradiance,10
5030,irradiancy,10
5031,irradiant,9
5032,irradiated,10
5033,irradiating,11
5034,irradiate,9
5035,irradiation,11
5036,irradicate,10
5037,irrational,10
5038,irrationality,13
5039,irrationally,12
5040,irrationalness,14
5041,irrebuttable,12
5042,irreceptive,11
5043,irreclaimable,13
5044,irrecognition,13
5045,irrecognizable,14
5046,irreconcilability,17
5047,irreconcilable,14
5048,irreconcile,11
5049,irreconcilement,15
5050,irreconciliation,16
5051,irrecordable,12
5052,irrecoverable,13
5053,irrecuperable,13
5054,irrecured,9
5055,irrecusable,11
5056,irredeemability,15
5057,irredeemable,12
5058,irreducibility,14
5059,irreducible,11
5060,irreflection,12
5061,irreflective,12
5062,irrefromable,12
5063,irrefragability,15
5064,irrefragable,12
5065,irrefrangibility,16
5066,irrefrangible,13
5067,irrefutable,11
5068,irregeneracy,12
5069,irregeneration,14
5070,irregular,9
5071,irregularist,12
5072,irregularities,14
5073,irregularity,12
5074,irregularly,11
5075,irregulate,10
5076,irregulous,10
5077,irrejectable,12
5078,irrelapsable,12
5079,irrelate,8
5080,irrelation,10
5081,irrelative,10
5082,irrelavance,11
5083,irrelavancy,11
5084,irrelavant,10
5085,irrelievable,12
5086,irreligion,10
5087,irreligionist,13
5088,irreligious,11
5089,irreligiously,13
5090,irreligiousness,15
5091,irremeable,10
5092,irremediable,12
5093,irremediableness,16
5094,irremediably,12
5095,irremissible,12
5096,irremission,11
5097,irremissive,11
5098,irremittable,12
5099,irremobability,14
5100,irremovable,11
5101,irremoval,9
5102,irremunerable,13
5103,irrenowned,10
5104,irreparability,14
5105,irreparable,11
5106,irreparableness,15
5107,irreparably,11
5108,irrepealability,15
5109,irrepealable,12
5110,irrepentance,12
5111,irrepleviable,13
5112,irreplevisable,14
5113,irreprehensible,15
5114,irrepresentable,15
5115,irrepressible,13
5116,irrepressibly,13
5117,irreproachable,14
5118,irreproachableness,18
5119,irreproachably,14
5120,irreprovable,12
5121,irreptitious,12
5122,irreputable,11
5123,irresilient,11
5124,irresistance,12
5125,irresistibility,15
5126,irresistible,12
5127,irresistibleness,16
5128,irresistibly,12
5129,irresistless,12
5130,irresoluble,11
5131,irresolubleness,15
5132,irresolute,10
5133,irresolution,12
5134,irresolvability,15
5135,irresolvable,12
5136,irresolvableness,16
5137,irresolvedly,12
5138,irrespective,12
5139,irrespectively,14
5140,irrespirable,12
5141,irresponsibility,16
5142,irresponsible,13
5143,irresponsibly,13
5144,irresponsive,12
5145,irresuscitable,14
5146,irretention,11
5147,irretentive,11
5148,irretraceable,13
5149,irretractile,12
5150,irretrievable,13
5151,irretrievableness,17
5152,irretrievably,13
5153,irreturnable,12
5154,irrevealable,12
5155,irreverence,11
5156,irreverend,10
5157,irreverent,10
5158,irreverently,12
5159,irreversibility,15
5160,irreversible,12
5161,irreversibleness,16
5162,irreversibly,12
5163,irrevocability,14
5164,irrevocable,11
5165,irrevokable,11
5166,irrevoluble,11
5167,irrhetorical,12
5168,irrigated,9
5169,irrigating,10
5170,irrigate,8
5171,irrigation,10
5172,irriguous,9
5173,irrisible,9
5174,irrision,8
5175,irritability,12
5176,irritable,9
5177,irritableness,13
5178,irritably,9
5179,irritancy,9
5180,irritant,8
5181,irritate,8
5182,irritated,9
5183,irritating,10
5184,irritation,10
5185,irritative,10
5186,irritatory,10
5187,irrorated,9
5188,irrorating,10
5189,irrorate,8
5190,irroration,10
5191,irrotational,12
5192,irrubrical,10
5193,irrugate,8
5194,irrupted,8
5195,irruption,9
5196,irruptive,9
5197,irvingite,9
5198,is,2
5199,isabel,6
5200,isabella,8
5201,isabelline,10
5202,isagelous,9
5203,isagel,6
5204,isagoge,7
5205,isagogic,8
5206,isagogical,10
5207,isagogics,9
5208,isagon,6
5209,isapostolic,11
5210,isatic,6
5211,isatinic,8
5212,isatide,7
5213,isatin,6
5214,isatis,6
5215,isatogen,8
5216,isatropic,9
5217,ischias,7
5218,ischiadic,9
5219,ischial,7
5220,ischiatic,9
5221,ischiocapsular,14
5222,ischiocerite,12
5223,ischion,7
5224,ischium,7
5225,ischiopodite,12
5226,ischiorectal,12
5227,ischuretic,10
5228,ischury,7
5229,isentropic,10
5230,isethionic,10
5231,ishmaelite,10
5232,ishmaelitish,12
5233,isiac,5
5234,isicle,6
5235,isidorian,9
5236,isinglass,9
5237,isis,4
5238,islam,5
5239,islamism,8
5240,islamite,8
5241,islamitic,9
5242,islamized,9
5243,islamizing,10
5244,islamize,8
5245,island,6
5246,islander,8
5247,islandy,7
5248,isle,4
5249,islet,5
5250,ism,3
5251,ismaelian,9
5252,ismaelite,9
5253,isobar,6
5254,isobaric,8
5255,isobarometric,13
5256,isobathytherm,13
5257,isobathythermic,15
5258,isocephalism,12
5259,isochasm,8
5260,isochasmic,10
5261,isocheim,8
5262,isocheimal,10
5263,isochimal,9
5264,isocheimenal,12
5265,isochimenal,11
5266,isocheimic,10
5267,isochimene,10
5268,isochromatic,12
5269,isochronal,10
5270,isochronic,10
5271,isochronism,11
5272,isochronon,10
5273,isochronous,11
5274,isochroous,10
5275,isoclinal,9
5276,isoclinic,9
5277,isocrymal,9
5278,isocryme,8
5279,isocrymic,9
5280,isocyanic,9
5281,isocyanuric,11
5282,isodiabatic,11
5283,isodiametric,12
5284,isodimorphic,12
5285,isodimorphism,13
5286,isodimorphous,13
5287,isodulcite,10
5288,isodynamic,10
5289,isodynamous,11
5290,isogeotherm,11
5291,isogeothermal,13
5292,isogeothermic,13
5293,isogonic,8
5294,isogonism,9
5295,isographic,10
5296,isography,9
5297,isohyetose,10
5298,isolable,8
5299,isolated,8
5300,isolating,9
5301,isolate,7
5302,isolatedly,10
5303,isolation,9
5304,isolator,8
5305,isologous,9
5306,isomer,6
5307,isomeric,8
5308,isomeride,9
5309,isomerism,9
5310,isomeromorphism,15
5311,isometric,9
5312,isometrical,11
5313,isomorph,8
5314,isomorphic,10
5315,isomorphism,11
5316,isomorphous,11
5317,isonandra,9
5318,isonephelic,11
5319,isonicotine,11
5320,isonicotinic,12
5321,isonomic,8
5322,isonomy,7
5323,isopathy,8
5324,isopepsin,9
5325,isoperimetrical,15
5326,isoperimetry,12
5327,isopiestic,10
5328,isopleura,9
5329,isopod,6
5330,isopoda,7
5331,isopodiform,11
5332,isopodous,9
5333,isopogonous,11
5334,isoprene,8
5335,isopycnic,9
5336,isorcin,7
5337,isorropic,9
5338,isosceles,9
5339,isospondyli,11
5340,isospondylous,13
5341,isosporic,9
5342,isostemonous,12
5343,isostemony,10
5344,isosulphocyanate,16
5345,isosulphocyanic,15
5346,isotheral,9
5347,isothere,8
5348,isotherm,8
5349,isothermal,10
5350,isothermobath,13
5351,isothermobathic,15
5352,isotherombrose,14
5353,isotonic,8
5354,isotrimorphic,13
5355,isotrimorphism,14
5356,isotrimorphous,14
5357,isotropic,9
5358,isotropism,10
5359,isotropous,10
5360,isotropy,8
5361,isouric,7
5362,israelite,9
5363,israelitic,10
5364,israelitish,11
5365,issuable,8
5366,issuably,8
5367,issuance,8
5368,issuant,7
5369,issue,5
5370,issued,6
5371,issuing,7
5372,issueless,9
5373,issuer,6
5374,isthmian,8
5375,isthmuses,9
5376,isthmus,7
5377,istle,5
5378,isuret,6
5379,it,2
5380,itacism,7
5381,itacist,7
5382,itacolumite,11
5383,itaconic,8
5384,itala,5
5385,italian,7
5386,italianate,10
5387,italianism,10
5388,italianized,11
5389,italianizing,12
5390,italianize,10
5391,italic,6
5392,italics,7
5393,italicism,9
5394,italicized,10
5395,italicizing,11
5396,italicize,9
5397,itched,6
5398,itching,7
5399,itch,4
5400,itchiness,9
5401,itchless,8
5402,itchy,5
5403,item,4
5404,itemed,6
5405,iteming,7
5406,itemize,7
5407,iter,4
5408,iterable,8
5409,iterance,8
5410,iterant,7
5411,iterate,7
5412,iterated,8
5413,iterating,9
5414,iteration,9
5415,iterative,9
5416,ithyphallic,11
5417,itineracy,9
5418,itinerancy,10
5419,itinerant,9
5420,itinerantly,11
5421,itinerary,9
5422,itineraries,11
5423,itinerated,10
5424,itinerating,11
5425,itinerate,9
5426,its,3
5427,itself,6
5428,ittria,6
5429,ittrium,7
5430,itzibu,6
5431,iulidan,7
5432,iulus,5
5433,ivied,5
5434,ivoride,7
5435,ivories,7
5436,ivory,5
5437,ivorytype,9
5438,ivies,5
5439,ivy,3
5440,iwis,4
5441,ixia,4
5442,ixodes,6
5443,ixodian,7
5444,ixtle,5
5445,ixtli,5
5446,izard,5
5447,izedi,5
5448,izedism,7
5449,izzard,6
