,P,Length
4373,pint,4
4374,pintados,8
4375,pintado,7
4376,pintail,7
4377,pintle,6
4378,pintos,6
4379,pinule,6
4380,pinus,5
4381,pinweed,7
4382,pinworm,7
4383,pinxit,6
4384,pinxter,7
4385,piny,4
4386,pioned,6
4387,pioneer,7
4388,pioneered,9
4389,pioneering,10
4390,pioner,6
4391,piony,5
4392,piot,4
4393,pious,5
4394,piously,7
4395,pip,3
4396,pipped,6
4397,pipping,7
4398,pipas,5
4399,pipa,4
4400,pipage,6
4401,pipe,4
4402,piped,5
4403,piping,6
4404,pipeclay,8
4405,pipefish,8
4406,pipelayer,9
4407,pipelaying,10
4408,pipemouth,9
4409,piper,5
4410,piperaceous,11
4411,piperic,7
4412,piperidge,9
4413,piperidine,10
4414,piperine,8
4415,piperonal,9
4416,piperylene,10
4417,pipestem,8
4418,pipestone,9
4419,pipette,7
4420,pipevine,8
4421,pipewort,8
4422,pipistrel,9
4423,pipistrelle,11
4424,pipit,5
4425,pipkin,6
4426,pippin,6
4427,pipras,6
4428,pipra,5
4429,piprine,7
4430,pipsissewa,10
4431,pipy,4
4432,piquancy,8
4433,piquant,7
4434,piquantly,9
4435,pique,5
4436,piqued,6
4437,piquing,7
4438,piqueer,7
4439,piqueerer,9
4440,piquet,6
4441,piracies,8
4442,piracy,6
4443,piragua,7
4444,pirai,5
4445,pirameter,9
4446,pirarucu,8
4447,pirate,6
4448,pirated,7
4449,pirating,8
4450,piratic,7
4451,piratical,9
4452,piraya,6
4453,pirie,5
4454,piririgua,9
4455,pirl,4
4456,pirn,4
4457,pirogue,7
4458,pirouette,9
4459,pirouetted,10
4460,pirouetting,11
4461,pirry,5
4462,pirrie,6
4463,pisasphaltum,12
4464,pisay,5
4465,piscary,7
4466,piscation,9
4467,piscator,8
4468,piscatorial,11
4469,piscatory,9
4470,pisces,6
4471,piscicapture,12
4472,piscicultural,13
4473,pisciculture,12
4474,pisciculturist,14
4475,pisciform,9
4476,piscina,7
4477,piscinal,8
4478,piscine,7
4479,piscivorous,11
4480,pise,4
4481,pish,4
4482,pishu,5
4483,pisiform,8
4484,pismire,7
4485,pisolite,8
4486,pisolitic,9
4487,pisophalt,9
4488,piss,4
4489,pissabed,8
4490,pissasphalt,11
4491,pist,4
4492,pistachio,9
4493,pistacia,8
4494,pistacite,9
4495,pistareen,9
4496,pistazite,9
4497,piste,5
4498,pistel,6
4499,pistil,6
4500,pistic,6
4501,pistillaceous,13
4502,pistillate,10
4503,pistillation,12
4504,pistillida,10
4505,pistillidium,12
4506,pistilliferous,14
4507,pistillody,10
4508,pistol,6
4509,pistoled,8
4510,pistoling,9
4511,pistolade,9
4512,pistole,7
4513,pistoleer,9
4514,pistolet,8
4515,piston,6
4516,pit,3
4517,pitted,6
4518,pitting,7
4519,pita,4
4520,pitahaya,8
4521,pitapat,7
4522,pitch,5
4523,pitched,7
4524,pitching,8
4525,pitchblende,11
4526,pitcher,7
4527,pitcherfuls,11
4528,pitcherful,10
4529,pitchfork,9
4530,pitchiness,10
4531,pitchstone,10
4532,pitchwork,9
4533,pitchy,6
4534,piteous,7
4535,pitfall,7
4536,pitfalling,10
4537,pith,4
4538,pitheci,7
4539,pithecoid,9
4540,pithful,7
4541,pithily,7
4542,pithiness,9
4543,pithless,8
4544,pithsome,8
4545,pithy,5
4546,pitiable,8
4547,pitier,6
4548,pitiful,7
4549,pitiless,8
4550,pitmen,6
4551,pitman,6
4552,pitpan,6
4553,pitpat,6
4554,pitta,5
4555,pittacal,8
4556,pittance,8
4557,pitter,6
4558,pituitary,9
4559,pituite,7
4560,pituitous,9
4561,pities,6
4562,pity,4
4563,pitied,6
4564,pitying,7
4565,pityriasis,10
4566,pityroid,8
4567,piu,3
4568,pivot,5
4569,pivoted,7
4570,pivoting,8
4571,pivotal,7
4572,pix,3
4573,pixies,6
4574,pixy,4
4575,pixie,5
4576,pizzicato,9
4577,pizzle,6
4578,placability,11
4579,placable,8
4580,placableness,12
4581,placard,7
4582,placarded,9
4583,placarding,10
4584,placate,7
4585,placated,8
4586,placating,9
4587,placation,9
4588,place,5
4589,placed,6
4590,placing,7
4591,placebo,7
4592,placeful,8
4593,placeless,9
4594,placemen,8
4595,placeman,8
4596,placement,9
4597,placentae,9
4598,placentas,9
4599,placenta,8
4600,placental,9
4601,placentalia,11
4602,placentary,10
4603,placentation,12
4604,placentiferous,14
4605,placentiform,12
4606,placentious,11
4607,placer,6
4608,placet,6
4609,placid,6
4610,placidity,9
4611,placidly,8
4612,placidness,10
4613,placit,6
4614,placitory,9
4615,placita,7
4616,placitum,8
4617,plack,5
4618,placket,7
4619,placoderm,9
4620,placodermal,11
4621,placodermata,12
4622,placodermi,10
4623,placoganoid,11
4624,placoganoidei,13
4625,placoid,7
4626,placoides,9
4627,placoidian,10
4628,placophora,10
4629,plagae,6
4630,plaga,5
4631,plagal,6
4632,plagate,7
4633,plage,5
4634,plagiarism,10
4635,plagiarist,10
4636,plagiarized,11
4637,plagiarizing,12
4638,plagiarize,10
4639,plagiary,8
4640,plagiaries,10
4641,plagihedral,11
4642,plagiocephalic,14
4643,plagiocephaly,13
4644,plagioclase,11
4645,plagionite,10
4646,plagiostomatous,15
4647,plagiostome,11
4648,plagiostomi,11
4649,plagiostomous,13
4650,plagiotremata,13
4651,plagiotropic,12
4652,plagium,7
4653,plagose,7
4654,plague,6
4655,plagued,7
4656,plaguing,8
4657,plagueful,9
4658,plagueless,10
4659,plaguer,7
4660,plaguily,8
4661,plaguy,6
4662,plaice,6
4663,plaid,5
4664,plaided,7
4665,plaiding,8
4666,plain,5
4667,plained,7
4668,plaining,8
4669,plainant,8
4670,plainly,7
4671,plainness,9
4672,plainsman,9
4673,plaint,6
4674,plaintful,9
4675,plaintiff,9
4676,plaintive,9
4677,plaintless,10
4678,plaisance,9
4679,plaise,6
4680,plaister,8
4681,plait,5
4682,plaited,7
4683,plaiting,8
4684,plaiter,7
4685,plan,4
4686,planned,7
4687,planning,8
4688,planariae,9
4689,planaria,8
4690,planarian,9
4691,planarida,9
4692,planarioid,10
4693,planary,7
4694,planch,6
4695,planched,8
4696,planching,9
4697,plancher,8
4698,planchet,8
4699,planchette,10
4700,plane,5
4701,planed,6
4702,planing,7
4703,planer,6
4704,planet,6
4705,planetarium,11
4706,planetary,9
4707,planeted,8
4708,planetic,8
4709,planetical,10
4710,planetoid,9
4711,planetoidal,11
4712,planetule,9
4713,plangency,9
4714,plangent,8
4715,planifolious,12
4716,planiform,9
4717,planimeter,10
4718,planimetric,11
4719,planimetrical,13
4720,planimetry,10
4721,planipennate,12
4722,planipennia,11
4723,planipetalous,13
4724,planished,9
4725,planishing,10
4726,planish,7
4727,planisher,9
4728,planisphere,11
4729,planispheric,12
4730,plank,5
4731,planked,7
4732,planking,8
4733,planless,8
4734,planner,7
4735,planoblast,10
4736,planometer,10
4737,planometry,10
4738,planorbis,9
4739,plant,5
4740,planted,7
4741,planting,8
4742,plantable,9
4743,plantage,8
4744,plantain,8
4745,plantal,7
4746,plantar,7
4747,plantation,10
4748,planter,7
4749,plantership,11
4750,planticle,9
4751,plantigrada,11
4752,plantigrade,11
4753,plantless,9
4754,plantlet,8
4755,plantocracy,11
4756,plantule,8
4757,planulae,8
4758,planula,7
4759,planxty,7
4760,plaque,6
4761,plash,5
4762,plashed,7
4763,plashing,8
4764,plashet,7
4765,plashoot,8
4766,plashy,6
4767,plasm,5
4768,plasma,6
4769,plasmatic,9
4770,plasmatical,11
4771,plasmation,10
4772,plasmator,9
4773,plasmature,10
4774,plasmic,7
4775,plasmid,7
4776,plasmin,7
4777,plasmodial,10
4778,plasmodia,9
4779,plasmodium,10
4780,plasmogen,9
4781,plasson,7
4782,plaster,7
4783,plastered,9
4784,plastering,10
4785,plasterer,9
4786,plasterly,9
4787,plasterwork,11
4788,plastery,8
4789,plastic,7
4790,plastical,9
4791,plastically,11
4792,plasticity,10
4793,plastid,7
4794,plastide,8
4795,plastidozoa,11
4796,plastidule,10
4797,plastin,7
4798,plastography,12
4799,plastron,8
4800,platted,7
4801,platting,8
4802,plat,4
4803,platan,6
4804,platanist,9
4805,platanus,8
4806,platband,8
4807,plate,5
4808,plated,6
4809,plating,7
4810,plateaux,8
4811,plateaus,8
4812,plateau,7
4813,platefuls,9
4814,plateful,8
4815,platel,6
4816,platen,6
4817,plater,6
4818,plateresque,11
4819,platetrope,10
4820,platform,8
4821,plathelminth,12
4822,plathelminthes,14
4823,platin,6
4824,platina,7
4825,platinic,8
4826,platinichloric,14
4827,platiniferous,13
4828,platiniridium,13
4829,platinized,10
4830,platinizing,11
4831,platinize,9
4832,platinochloric,14
4833,platinochloride,15
4834,platinocyanic,13
4835,platinocyanide,14
4836,platinode,9
4837,platinoid,9
4838,platinotype,11
4839,platinous,9
4840,platinum,8
4841,platitude,9
4842,platitudinarian,15
4843,platitudinize,13
4844,platitudinous,13
4845,platly,6
4846,platness,8
4847,platometer,10
4848,platonic,8
4849,platonical,10
4850,platonically,12
4851,platonism,9
4852,platonist,9
4853,platonized,10
4854,platonizing,11
4855,platonize,9
4856,platonizer,10
4857,platoon,7
4858,platt,5
4859,plattdeutsch,12
4860,platten,7
4861,platter,7
4862,platy,5
4863,platycephalic,13
4864,platycephalous,14
4865,platycnemic,11
4866,platycnemism,12
4867,platycoelian,12
4868,platyelminthes,14
4869,platyhelmia,11
4870,platymeter,10
4871,platypod,8
4872,platypoda,9
4873,platyptera,10
4874,platypus,8
4875,platyrhine,10
4876,platyrhini,10
4877,plaud,5
4878,plaudit,7
4879,plauditory,10
4880,plausibility,12
4881,plausible,9
4882,plausibleize,12
4883,plausibleness,13
4884,plausibly,9
4885,plausive,8
4886,played,6
4887,playing,7
4888,play,4
4889,playa,5
4890,playbill,8
4891,playbook,8
4892,playday,7
4893,player,6
4894,playfellow,10
4895,playfere,8
4896,playful,7
4897,playgame,8
4898,playgoer,8
4899,playgoing,9
4900,playground,10
4901,playhouse,9
4902,playmaker,9
4903,playmate,8
4904,playsome,8
4905,playte,6
4906,plaything,9
4907,playtime,8
4908,playwright,10
4909,playwriter,10
4910,plaza,5
4911,plea,4
4912,pleached,8
4913,pleaching,9
4914,pleach,6
4915,pleaded,7
4916,plead,5
4917,pled,4
4918,pleading,8
4919,pleadable,9
4920,pleader,7
4921,pleadingly,10
4922,pleadings,9
4923,pleasance,9
4924,pleasant,8
4925,pleasantly,10
4926,pleasantness,12
4927,pleasantries,12
4928,pleasantry,10
4929,pleased,7
4930,pleasing,8
4931,please,6
4932,pleaseman,9
4933,pleaser,7
4934,pleasurable,11
4935,pleasure,8
4936,pleasured,9
4937,pleasuring,10
4938,pleasureful,11
4939,pleasureless,12
4940,pleasurer,9
4941,pleasurist,10
4942,pleat,5
4943,plebe,5
4944,plebeian,8
4945,plebeiance,10
4946,plebeianism,11
4947,plebeianized,12
4948,plebeianizing,13
4949,plebeianize,11
4950,plebicolist,11
4951,plebification,13
4952,plebiscitary,12
4953,plebiscite,10
4954,plebiscitum,11
4955,plectile,8
4956,plectognath,11
4957,plectognathi,12
4958,plectognathic,13
4959,plectospondyli,14
4960,plectospondylous,16
4961,plectra,7
4962,plectrum,8
4963,pledge,6
4964,pledged,7
4965,pledging,8
4966,pledgee,7
4967,pledgeless,10
4968,pledgeor,8
4969,pledgor,7
4970,pledger,7
4971,pledgery,8
4972,pledget,7
4973,plegepoda,9
4974,pleiad,6
4975,pleiades,8
4976,plein,5
4977,pleiocene,9
4978,pleiophyllous,13
4979,pleiosaurus,11
4980,pleistocene,11
4981,plenal,6
4982,plenarily,9
4983,plenariness,11
4984,plenarty,8
4985,plenary,7
4986,plene,5
4987,plenicorn,9
4988,plenilunary,11
4989,plenilune,9
4990,plenipotence,12
4991,plenipotency,12
4992,plenipotent,11
4993,plenipotentiaries,17
4994,plenipotentiary,15
4995,plenish,7
4996,plenishing,10
4997,plenist,7
4998,plenitude,9
4999,plenitudinarian,15
5000,plenitudinary,13
5001,plenteous,9
5002,plentevous,10
5003,plentiful,9
5004,plenties,8
5005,plenty,6
5006,plenum,6
5007,pleochroic,10
5008,pleochroism,11
5009,pleochromatic,13
5010,pleochromatism,14
5011,pleochroous,11
5012,pleomorphic,11
5013,pleomorphism,12
5014,pleomorphous,12
5015,pleonasm,8
5016,pleonast,8
5017,pleonaste,9
5018,pleonastic,10
5019,pleonastical,12
5020,pleonastically,14
5021,pleopods,8
5022,pleopoda,8
5023,pleopod,7
5024,plerome,7
5025,plerophory,10
5026,plesance,8
5027,plesh,5
5028,plesimorphism,13
5029,plesiomorphous,14
5030,plesiosaur,10
5031,plesiosauria,12
5032,plesiosaurian,13
5033,plesiosauri,11
5034,plesiosaurus,12
5035,plessimeter,11
5036,plete,5
5037,plethora,8
5038,plethoretic,11
5039,plethoric,9
5040,plethorical,11
5041,plethory,8
5042,plethra,7
5043,plethron,8
5044,plethrum,8
5045,plethysmograph,14
5046,plethysmography,15
5047,pleura,6
5048,pleurae,7
5049,pleuras,7
5050,pleural,7
5051,pleuralgia,10
5052,pleurapophyses,14
5053,pleurapophysis,14
5054,pleurenchyma,12
5055,pleuric,7
5056,pleurisy,8
5057,pleurite,8
5058,pleuritic,9
5059,pleuritical,11
5060,pleuritis,9
5061,pleurobrachia,13
5062,pleurobranch,12
5063,pleuroeranchiae,15
5064,pleurobranchia,14
5065,pleurocarp,10
5066,pleurocarpic,12
5067,pleurocarpous,13
5068,pleurocentrum,13
5069,pluroderes,10
5070,pleurodont,10
5071,pleurodynia,11
5072,pleuron,7
5073,pleuronectoid,13
5074,pleuropericardial,17
5075,pleuroperipneumony,18
5076,pleuroperitoneal,16
5077,pleuroperitoneum,16
5078,pleuropneumonia,15
5079,pleuroptera,11
5080,pleurosigma,11
5081,pleurostea,10
5082,pleurosteon,11
5083,pleurothotonus,14
5084,pleurotomae,11
5085,pleurotomas,11
5086,pleurotoma,10
5087,plevin,6
5088,plexiform,9
5089,pleximeter,10
5090,plexure,7
5091,plexus,6
5092,plexuses,8
5093,pley,4
5094,pleyt,5
5095,pliability,10
5096,pliable,7
5097,pliancy,7
5098,pliant,6
5099,plica,5
5100,plicate,7
5101,plicated,8
5102,plication,9
5103,plicature,9
5104,plicidentine,12
5105,plied,5
5106,pliers,6
5107,pliform,7
5108,plight,6
5109,plighted,8
5110,plighting,9
5111,plighter,8
5112,plim,4
5113,plinth,6
5114,pliocene,8
5115,pliohippus,10
5116,pliosaurus,10
5117,plitt,5
5118,ploc,4
5119,ploce,5
5120,plodded,7
5121,plodding,8
5122,plod,4
5123,plodder,7
5124,plonge,6
5125,plongee,7
5126,plot,4
5127,plotted,7
5128,plotting,8
5129,plotful,7
5130,pletinian,9
5131,plotinist,9
5132,plotter,7
5133,plough,6
5134,plover,6
5135,plow,4
5136,plowed,6
5137,ploughed,8
5138,plowing,7
5139,ploughing,9
5140,plowable,8
5141,ploughable,10
5142,plowbote,8
5143,ploughbote,10
5144,plowboy,7
5145,ploughboy,9
5146,plower,6
5147,plougher,8
5148,plowfoot,8
5149,ploughfoot,10
5150,plowgang,8
5151,ploughgang,10
5152,plowgate,8
5153,ploughgate,10
5154,plowhead,8
5155,ploughhead,10
5156,plowland,8
5157,plougland,9
5158,plowman,7
5159,ploughman,9
5160,plowpoint,9
5161,ploughpoint,11
5162,plowshare,9
5163,ploughshare,11
5164,plowtail,8
5165,ploughtail,10
5166,plowwright,10
5167,ploughwright,12
5168,ploy,4
5169,ployment,8
5170,plucked,7
5171,plucking,8
5172,pluck,5
5173,plucker,7
5174,pluckily,8
5175,pluckiness,10
5176,pluckless,9
5177,plucky,6
5178,pluff,5
5179,plug,4
5180,plugged,7
5181,plugging,8
5182,plugger,7
5183,plum,4
5184,plumae,6
5185,pluma,5
5186,plumage,7
5187,plumassary,10
5188,plumassier,10
5189,plumb,5
5190,plumbed,7
5191,plumbing,8
5192,plumbage,8
5193,plumbagin,9
5194,plumbagineous,13
5195,plumbaginous,12
5196,plumbago,8
5197,plumbean,8
5198,plumbeous,9
5199,plumber,7
5200,plumbery,8
5201,plumbic,7
5202,plumbiferous,12
5203,plumbism,8
5204,plumbous,8
5205,plumbum,7
5206,plume,5
5207,plumed,6
5208,pluming,7
5209,plumeless,9
5210,plumelet,8
5211,plumery,7
5212,plumicorn,9
5213,plumigerous,11
5214,plumiliform,11
5215,plumiped,8
5216,plummet,7
5217,plumming,8
5218,plummy,6
5219,plumose,7
5220,plumous,7
5221,plumosite,9
5222,plumosity,9
5223,plump,5
5224,plumped,7
5225,plumping,8
5226,plumper,7
5227,plumply,7
5228,plumpness,9
5229,plumpy,6
5230,plumule,7
5231,plumula,7
5232,plumulaceous,12
5233,plumular,8
5234,plumularlae,11
5235,plumularias,11
5236,plumularia,10
5237,plumularian,11
5238,plumulose,9
5239,plumy,5
5240,plundered,9
5241,plundering,10
5242,plunder,7
5243,plunderage,10
5244,plunderer,9
5245,plunged,7
5246,plunging,8
5247,plunge,6
5248,plunger,7
5249,plunket,7
5250,pluperfect,10
5251,plural,6
5252,pluralism,9
5253,pluralist,9
5254,pluralities,11
5255,plurality,9
5256,pluralization,13
5257,pluralized,10
5258,pluralizing,11
5259,pluralize,9
5260,pluralizer,10
5261,plurally,8
5262,pluries,7
5263,plurifarious,12
5264,plurifoliolate,14
5265,pluriliteral,12
5266,plurilocular,12
5267,pluriparous,11
5268,pluripartite,12
5269,pluripresence,13
5270,plurisy,7
5271,plus,4
5272,plush,5
5273,plushy,6
5274,plutarchy,9
5275,pluteal,7
5276,plutei,6
5277,pluteuses,9
5278,pluteus,7
5279,pluto,5
5280,plutocracy,10
5281,plutocrat,9
5282,plutocratic,11
5283,plutology,9
5284,plutonian,9
5285,plutonic,8
5286,plutonism,9
5287,plutonist,9
5288,plutus,6
5289,pluvial,7
5290,pluviameter,11
5291,pluviametrical,14
5292,pluvian,7
5293,pluviometer,11
5294,pluviometrical,14
5295,pluviose,8
5296,pluvious,8
5297,plying,6
5298,ply,3
5299,plyer,5
5300,plyght,6
5301,pneometer,9
5302,pneumatic,9
5303,pneumatical,11
5304,pneumaticity,12
5305,pneumatics,10
5306,pneumatocele,12
5307,pneumatocyst,12
5308,pneumatogarm,12
5309,pneumatograph,13
5310,pneumatological,15
5311,pneumatologist,14
5312,pneumatology,12
5313,pneumatometer,13
5314,pneumatometry,13
5315,pneumatophore,13
5316,pneumatothorax,14
5317,pneumococcus,12
5318,pneumogastric,13
5319,pneumograph,11
5320,pneumography,12
5321,pneumology,10
5322,pneumometer,11
5323,pneumometry,11
5324,pneumonia,9
5325,pneumonic,9
5326,pneumonitic,11
5327,pneumonitis,11
5328,pneumonometer,13
5329,pneumonophora,13
5330,pneumony,8
5331,pneumootoka,11
5332,pneumophora,11
5333,pneumoskeleton,14
5334,pneumotherapy,13
5335,pneumothorax,12
5336,pnigalion,9
5337,pnyx,4
5338,poa,3
5339,poached,7
5340,poaching,8
5341,poach,5
5342,poachard,8
5343,poacher,7
5344,poachiness,10
5345,poachy,6
5346,poak,4
5347,poake,5
5348,pocan,5
5349,pochard,7
5350,pock,4
5351,pockarred,9
5352,pocket,6
5353,pocketed,8
5354,pocketing,9
5355,pocketbook,10
5356,pocketfuls,10
5357,pocketful,9
5358,pocketknife,11
5359,pockiness,9
5360,pockmark,8
5361,pockmarked,10
5362,pockwood,8
5363,pocky,5
5364,poco,4
5365,pocock,6
5366,pococurante,11
5367,pococurantism,13
5368,pocoson,7
5369,poculent,8
5370,poculiform,10
5371,pod,3
5372,podded,6
5373,podding,7
5374,podagra,7
5375,podagric,8
5376,podagrical,10
5377,podagrous,9
5378,podalgia,8
5379,podarthra,9
5380,podarthrum,10
5381,podder,6
5382,podesta,7
5383,podetia,7
5384,podetiums,9
5385,podetium,8
5386,podge,5
5387,podgy,5
5388,podical,7
5389,podiceps,8
5390,podia,5
5391,podium,6
5392,podley,6
5393,podobranch,10
5394,podobranchiae,13
5395,podobranchia,12
5396,podocarp,8
5397,podocephalous,13
5398,podogynium,10
5399,podophthalmia,13
5400,podophthalmic,13
5401,podophthalmous,14
5402,podophthalmite,14
5403,podophyllin,11
5404,podophyllous,12
5405,podophyllum,11
5406,podoscaph,9
5407,podosperm,9
5408,podostomata,11
5409,podothecae,10
5410,podotheca,9
5411,podrida,7
5412,podurae,7
5413,poduras,7
5414,podura,6
5415,podurid,7
5416,poe,3
5417,poebird,7
5418,poecile,7
5419,poecilitic,10
5420,poecilopod,10
5421,poecilopoda,11
5422,poem,4
5423,poematic,8
5424,poenamu,7
5425,poenology,9
5426,poephaga,8
5427,poesy,5
5428,poet,4
5429,poetaster,9
5430,poetastry,9
5431,poetess,7
5432,poetic,6
5433,poetical,8
5434,poetically,10
5435,poetics,7
5436,poeticule,9
5437,poetized,8
5438,poetizing,9
5439,poetize,7
5440,poetry,6
5441,poetship,8
5442,poggy,5
5443,pogy,4
5444,poh,3
5445,pohagen,7
5446,poi,3
5447,poicile,7
5448,poignancy,9
5449,poignant,8
5450,poignantly,10
5451,poikilitic,10
5452,poikilocyte,11
5453,poikilothermal,14
5454,poikilothermic,14
5455,poikilothermous,15
5456,poinciana,9
5457,poind,5
5458,poinder,7
5459,poinsettia,10
5460,point,5
5461,pointed,7
5462,pointing,8
5463,pointal,7
5464,pointel,7
5465,pointer,7
5466,pointingstock,13
5467,pointless,9
5468,pointlessly,11
5469,pointleted,10
5470,pointrel,8
5471,pointsman,9
5472,poise,5
5473,poised,6
5474,poising,7
5475,poiser,6
5476,poison,6
5477,poisoned,8
5478,poisoning,9
5479,poisonable,10
5480,poisoner,8
5481,poisonous,9
5482,poisonsome,10
5483,poisure,7
5484,poitrel,7
5485,poize,5
5486,pokal,5
5487,poke,4
5488,poked,5
5489,poking,6
5490,pokebag,7
5491,poker,5
5492,pokerish,8
5493,poket,5
5494,pokeweed,8
5495,pokey,5
5496,poky,4
5497,polacca,7
5498,polack,6
5499,polacre,7
5500,polander,8
5501,polar,5
5502,polarchy,8
5503,polaric,7
5504,polarily,8
5505,polarimeter,11
5506,polarimetry,11
5507,polaris,7
5508,polariscope,11
5509,polariscopic,12
5510,polariscopy,11
5511,polaristic,10
5512,polarity,8
5513,polarizable,11
5514,polarization,12
5515,polarized,9
5516,polarizing,10
5517,polarize,8
5518,polarizer,9
5519,polary,6
5520,polatouche,10
5521,polder,6
5522,poldway,7
5523,pole,4
5524,poled,5
5525,poling,6
5526,poleax,6
5527,poleaxe,7
5528,polecat,7
5529,poledavy,8
5530,poleless,8
5531,polemarch,9
5532,polemic,7
5533,polemical,9
5534,polemicist,10
5535,polemics,8
5536,polemist,8
5537,polemoniaceous,14
5538,polemonium,10
5539,polemoscope,11
5540,polemy,6
5541,polenta,7
5542,poler,5
5543,polestar,8
5544,polewards,9
5545,polewig,7
5546,poley,5
5547,polianite,9
5548,policate,8
5549,police,6
5550,policed,7
5551,policing,8
5552,policemen,9
5553,policeman,9
5554,policial,8
5555,policied,8
5556,policies,8
5557,policy,6
5558,policying,9
5559,polish,6
5560,polished,8
5561,polishing,9
5562,polishable,10
5563,polishedness,12
5564,polisher,8
5565,polishment,10
5566,polite,6
5567,politely,8
5568,politeness,10
5569,politesse,9
5570,politic,7
5571,political,9
5572,politicalism,12
5573,politically,11
5574,politicaster,12
5575,politician,10
5576,politicist,10
5577,politicly,9
5578,politics,8
5579,politize,8
5580,politure,8
5581,polities,8
5582,polity,6
5583,politzerization,15
5584,polive,6
5585,polka,5
5586,poll,4
5587,polled,6
5588,polling,7
5589,pollack,7
5590,pollage,7
5591,pollan,6
5592,pollard,7
5593,pollarded,9
5594,pollarding,10
5595,pollax,6
5596,pollen,6
5597,pollenarious,12
5598,pollened,8
5599,polleniferous,13
5600,pollenin,8
5601,pollenized,10
5602,pollenizing,11
5603,pollenize,9
5604,poller,6
5605,pollices,8
5606,pollex,6
5607,pollicate,9
5608,pollicitation,13
5609,pollinate,9
5610,pollinctor,10
5611,polliniferous,13
5612,pollinia,8
5613,pollinium,9
5614,pollinose,9
5615,polliwig,8
5616,polliwog,8
5617,pollock,7
5618,pollucite,9
5619,polluted,8
5620,polluting,9
5621,pollute,7
5622,polluter,8
5623,pollution,9
5624,pollux,6
5625,polly,5
5626,pollywog,8
5627,polo,4
5628,polonaise,9
5629,polonese,8
5630,polony,6
5631,polron,6
5632,polt,4
5633,poltroon,8
5634,poltroonery,11
5635,poltroonish,11
5636,polverine,9
5637,polwig,6
5638,poly,4
5639,polyacid,8
5640,polyacoustic,12
5641,polyacoustics,13
5642,polyacra,8
5643,polyacrons,10
5644,polyacron,9
5645,polyactinia,11
5646,polyadelphia,12
5647,polyadelphian,13
5648,polyadelphous,13
5649,polyandria,10
5650,polyandrian,11
5651,polyandric,10
5652,polyandrous,11
5653,polyandry,9
5654,polyanthuses,12
5655,polyanthus,10
5656,polyarchist,11
5657,polyarchy,9
5658,polyatomic,10
5659,polyautography,14
5660,polybasic,9
5661,polybasite,10
5662,polybranchia,12
5663,polybromide,11
5664,polycarpellary,14
5665,polycarpic,10
5666,polycarpous,11
5667,polychaeta,10
5668,polychloride,12
5669,polychoerany,12
5670,polychord,9
5671,polychrest,10
5672,polychroism,11
5673,polychroite,11
5674,polychromate,12
5675,polychromatic,13
5676,polychrome,10
5677,polychromic,11
5678,polychromous,12
5679,polychromy,10
5680,polychronious,13
5681,polyclinic,10
5682,polyconic,9
5683,polycotyledon,13
5684,polycotyledonary,16
5685,polycracy,9
5686,polycrotic,10
5687,polycrotism,11
5688,polycystid,10
5689,polycystidea,12
5690,polycystina,11
5691,polycystine,11
5692,polycyttaria,12
5693,polydactylism,13
5694,polydipsia,10
5695,polyedron,9
5696,polyedrous,10
5697,polyeidic,9
5698,polyeidism,10
5699,polyembryonate,14
5700,polyembryonic,13
5701,polyembryony,12
5702,polyfoil,8
5703,polygala,8
5704,polygalaceous,13
5705,polygalic,9
5706,polygamia,9
5707,polygamian,10
5708,polygamist,10
5709,polygamize,10
5710,polygamous,10
5711,polygamy,8
5712,polygastrian,12
5713,polygastric,11
5714,polygastrica,12
5715,polygenesis,11
5716,polygeny,8
5717,polygenetic,11
5718,polygenic,9
5719,polygenism,10
5720,polygenist,10
5721,polygenous,10
5722,polyglot,8
5723,polyglottous,12
5724,polygon,7
5725,polygonaceous,13
5726,polygonal,9
5727,polygoneutic,12
5728,polygonometry,13
5729,polygonous,10
5730,polygonum,9
5731,polygony,8
5732,polygordius,11
5733,polygram,8
5734,polygraph,9
5735,polygraphic,11
5736,polygraphical,13
5737,polygraphy,10
5738,polygrooved,11
5739,polygyn,7
5740,polygynia,9
5741,polygynian,10
5742,polygynous,10
5743,polygynist,10
5744,polygyny,8
5745,polyhalite,10
5746,polyhedral,10
5747,polyhedrical,12
5748,polyhedrons,11
5749,polyhedra,9
5750,polyhedron,10
5751,polyhedrous,11
5752,polyhistor,10
5753,polyhymnia,10
5754,polyiodide,10
5755,polylogy,8
5756,polyloquent,11
5757,polymastism,11
5758,polymathic,10
5759,polymathist,11
5760,polymathy,9
5761,polymeniscous,13
5762,polymer,7
5763,polymeric,9
5764,polymerism,10
5765,polymerization,14
5766,polymerize,10
5767,polymerous,10
5768,polymnia,8
5769,polymnite,9
5770,polymorph,9
5771,polymorphic,11
5772,polymorphism,12
5773,polymorphosis,13
5774,polymorphous,12
5775,polymorphy,10
5776,polymyodae,10
5777,polymyodous,11
5778,polymyoid,9
5779,polyneme,8
5780,polynemoid,10
5781,polynesian,10
5782,polynesians,11
5783,polynia,7
5784,polynomial,10
5785,polynuclear,11
5786,polynucleolar,13
5787,polyommatous,12
5788,polyonomous,11
5789,polyonomy,9
5790,polyonym,8
5791,polyonymous,11
5792,polyoptron,10
5793,polyoptrum,10
5794,polyorama,9
5795,polyp,5
5796,polyparous,10
5797,polyparies,10
5798,polypary,8
